storageid,identifier
1,201569_News_Footage_1954_Can_7
2,200566_Mode_Art_Can_8017
3,200349_Mode_Art_Can_2832
4,The_Story_of_Television
5,200363_Mode_Art_Can_1103_R1
7,200350_Mode_Art_Can_1437
8,201538_Schultz_Collection_004135
9,201537_Schultz_Collection_004134
10,202013_Home_Movie_004762
11,201535_Schultz_Collection_004132
12,200413_MT_Chem_Orig_4
13,201360_202146_The_Winter_Soldier_Investigation
14,201381_Communists_on_Campus
15,201500_Westberg_Collection_004100
16,201444_Home_Movie_004533
17,200692_Century_21_Home_Film
18,201445_KPIX_Teletrips_Roll_B
19,200351_Mode_Art_Can_1588
20,201959_Home_Movie_004703
21,201539_Home_Movie_004136
22,200355_Cape_May_Original_Trims_R6
23,200592_Vista_Stock_Shots_Cattle_On_Range_Pasture_Meadow_R1
24,200581_003626
25,201251_Dill_Collection_004071
26,201239_Dill_Collection_004059
27,202217_Home_Movie_004761
28,200593_Vista_Stock_Shots_Cattle_On_Range_Pasture_Meadow_R2
29,200632_Mode-Art_Can_1950
30,200359_The_Wonderful_World_Of_Julius_Wile
31,201235_Dill_Collection_004055
32,200341_Mode_Art_Can_1557_R1
33,200345_Cape_May_Original_Trims_R2
34,200596_Vista_Stock_Shots_Cattle_Handling_Drivers
35,200360_Mode_Art_Can_1472
36,201527_Jamison_Collection_004124
37,201522_Vusovich_Collection_004119
38,202019_Home_Movie_004756
39,202088_Private_Party
40,202092_Protecting_Nurses_Welfare
41,201801_Home_Movie_096536
42,201305_Galante_Collection_004313
43,201525_Jordan-Joneses_Collection_004122
44,201226_Dill_Collection_004046
45,200495_Vista_Stock_Shots_California
46,200691_Vista_Stock_Shots_Meat_Handling_Butcher
47,200416_Mode-Art_Can_1419_R2
48,201574_Miscellaneous_Outtakes
49,201068_Medicus_Collection_Florida_1939_R1_003815
50,200432_Calvin_0313
51,200346_Cape_May_Original_Trims_R4
52,200365_Mode_Art_Can_2574
53,200353_The_Bridge
54,202010_Home_Movie_004750
55,200725_Your_Visit_to_San_Francisco
56,200569_011006
57,200342_Mode_Art_Can_1557_R2
58,201312_Galante_Collection_004320
59,200695_Vista_Stock_Shots_Agricultural_Colleges_2
60,201943_Communist_Blueprint_For_Conquest
61,201344_Communism_In_Action_Part_2
62,201395_The_Otepka_Case
63,201343_Communism_In_Action_Part_1
64,201375_While_Brave_Men_Die
65,201385_A_Visit_to_the_John_Birch_Society
66,201364_Only_The_Beginning
67,201361_Police_Attack_People_Fight_Back
68,201383_In_Our_Hands_What_We_Have
69,201359_Subways
70,201358_Interview_With_Bobby_Seale
71,200723_American_Maker
72,200505_Our_Productive_Land
73,201384_In_Our_Hands_How_We_Got_What_We_Have
75,200716_Citrus_in_Nutrition
76,200499_What_Happened_To_Sugar
77,200383_Todays_Horse_Farm
78,200719_Life-Line_of_the_Nation
79,200329_Our_Foster_Mother_The_Cow
80,200372_The_Truck_Farmer
81,200370_From_Forest_to_Fireside_R2
82,200490_000419
83,200371_Information_Machine
84,201523_Jamison_Collection_004120
85,200409_Mode_Art_Can_1556_R1
86,200391_All_About_Polymorphics
87,200377_What_You_Should_Know_About_Biological_Warfare
88,201576_The_Big_Bounce
89,200562_Mode_Art_Can_3091
90,200694_Vista_Stock_Shots_Agricultural_Colleges_1
