PrepID,Name,DeleteAfterExport,MaxSize,PieceSize,MinPieceSize,NoInline,NoDag,SourceStorageID,SourceStorageName,SourceStorageType,SourceStoragePath,HasOutputStorage
600,eot-2024-interim-crawls_016,false,33822867456,34359738368,1048576,false,false,600,eot-2024-interim-crawls_016,union,,false
439,eot-2024-crawls_008,false,33822867456,34359738368,1048576,false,false,439,eot-2024-crawls_008,union,,false
452,eot-2024-crawls_020,false,33822867456,34359738368,1048576,false,false,452,eot-2024-crawls_020,union,,false
465,eot-2024-crawls_032,false,33822867456,34359738368,1048576,false,false,465,eot-2024-crawls_032,union,,false
476,eot-2024-crawls_043,false,33822867456,34359738368,1048576,false,false,476,eot-2024-crawls_043,union,,false
495,eot-2024-crawls_061,false,33822867456,34359738368,1048576,false,false,495,eot-2024-crawls_061,union,,false
567,eot-2024-crawls_091,false,33822867456,34359738368,1048576,false,false,567,eot-2024-crawls_091,union,,false
530,eot-2024-crawls_096,false,33822867456,34359738368,1048576,false,false,530,eot-2024-crawls_096,union,,false
535,eot-2024-crawls_101,false,33822867456,34359738368,1048576,false,false,535,eot-2024-crawls_101,union,,false
569,eot-2024-crawls_106,false,33822867456,34359738368,1048576,false,false,569,eot-2024-crawls_106,union,,false
541,eot-2024-crawls_108,false,33822867456,34359738368,1048576,false,false,541,eot-2024-crawls_108,union,,false
547,eot-2024-crawls_113,false,33822867456,34359738368,1048576,false,false,547,eot-2024-crawls_113,union,,false
557,eot-2024-crawls_123,false,33822867456,34359738368,1048576,false,false,557,eot-2024-crawls_123,union,,false
1,201569_News_Footage_1954_Can_7,false,33822867456,34359738368,1048576,false,false,1,201569_News_Footage_1954_Can_7,internetarchive,201569_News_Footage_1954_Can_7,false
4,The_Story_of_Television,false,33822867456,34359738368,1048576,false,false,4,The_Story_of_Television,internetarchive,The_Story_of_Television,false
122,202086_The_Sound_Of_A_Million,false,33822867456,34359738368,1048576,false,false,122,202086_The_Sound_Of_A_Million,internetarchive,202086_The_Sound_Of_A_Million,false
123,200586_003631,false,33822867456,34359738368,1048576,false,false,123,200586_003631,internetarchive,200586_003631,false
124,202011_Home_Movie_004751,false,33822867456,34359738368,1048576,false,false,124,202011_Home_Movie_004751,internetarchive,202011_Home_Movie_004751,false
125,201253_Dill_Collection_004073,false,33822867456,34359738368,1048576,false,false,125,201253_Dill_Collection_004073,internetarchive,201253_Dill_Collection_004073,false
126,202083_Unidentified_Interview,false,33822867456,34359738368,1048576,false,false,126,202083_Unidentified_Interview,internetarchive,202083_Unidentified_Interview,false
127,201526_Jamison_Collection_004123,false,33822867456,34359738368,1048576,false,false,127,201526_Jamison_Collection_004123,internetarchive,201526_Jamison_Collection_004123,false
128,201964_Home_Movie_004708,false,33822867456,34359738368,1048576,false,false,128,201964_Home_Movie_004708,internetarchive,201964_Home_Movie_004708,false
129,200434_Home_Movie_010158,false,33822867456,34359738368,1048576,false,false,129,200434_Home_Movie_010158,internetarchive,200434_Home_Movie_010158,false
130,201540_Home_Movie_004137,false,33822867456,34359738368,1048576,false,false,130,201540_Home_Movie_004137,internetarchive,201540_Home_Movie_004137,false
131,200364_Mode_Art_Can_1103_R2,false,33822867456,34359738368,1048576,false,false,131,200364_Mode_Art_Can_1103_R2,internetarchive,200364_Mode_Art_Can_1103_R2,false
