StorageID,StorageName,StorageType,StoragePath,IsSource,SourceID,SourceName,SourceDeleteAfterExport,SourceMaxSize,SourcePieceSize,SourceMinPieceSize,SourceNoInline,SourceNoDag
1,201569_News_Footage_1954_Can_7,internetarchive,201569_News_Footage_1954_Can_7,true,1,201569_News_Footage_1954_Can_7,false,33822867456,34359738368,1048576,false,false
1,201569_News_Footage_1954_Can_7,internetarchive,201569_News_Footage_1954_Can_7,true,891,aggregate-test,false,33822867456,34359738368,1048576,false,false
2,200566_Mode_Art_Can_8017,internetarchive,200566_Mode_Art_Can_8017,true,2,200566_Mode_Art_Can_8017,false,33822867456,34359738368,1048576,false,false
2,200566_Mode_Art_Can_8017,internetarchive,200566_Mode_Art_Can_8017,true,891,aggregate-test,false,33822867456,34359738368,1048576,false,false
3,200349_Mode_Art_Can_2832,internetarchive,200349_Mode_Art_Can_2832,true,3,200349_Mode_Art_Can_2832,false,33822867456,34359738368,1048576,false,false
4,The_Story_of_Television,internetarchive,The_Story_of_Television,true,4,The_Story_of_Television,false,33822867456,34359738368,1048576,false,false
5,200363_Mode_Art_Can_1103_R1,internetarchive,200363_Mode_Art_Can_1103_R1,true,5,200363_Mode_Art_Can_1103_R1,false,33822867456,34359738368,1048576,false,false
7,200350_Mode_Art_Can_1437,internetarchive,200350_Mode_Art_Can_1437,true,7,200350_Mode_Art_Can_1437,false,33822867456,34359738368,1048576,false,false
8,201538_Schultz_Collection_004135,internetarchive,201538_Schultz_Collection_004135,true,8,201538_Schultz_Collection_004135,false,33822867456,34359738368,1048576,false,false
9,201537_Schultz_Collection_004134,internetarchive,201537_Schultz_Collection_004134,true,9,201537_Schultz_Collection_004134,false,33822867456,34359738368,1048576,false,false
10,202013_Home_Movie_004762,internetarchive,202013_Home_Movie_004762,true,10,202013_Home_Movie_004762,false,33822867456,34359738368,1048576,false,false
11,201535_Schultz_Collection_004132,internetarchive,201535_Schultz_Collection_004132,true,11,201535_Schultz_Collection_004132,false,33822867456,34359738368,1048576,false,false
12,200413_MT_Chem_Orig_4,internetarchive,200413_MT_Chem_Orig_4,true,12,200413_MT_Chem_Orig_4,false,33822867456,34359738368,1048576,false,false
